,Sleep,Wake
always_0,-363.5 +- 8.9,363.5 +- 8.9
always_1,88.9 +- 6.6,-88.9 +- 6.6
CNN_20_ENMO,26.6 +- 5.8,-26.6 +- 5.8
CNN_50_ENMO,19.7 +- 5.7,-19.7 +- 5.7
CNN_100_ENMO,25.5 +- 5.5,-25.5 +- 5.5
LSTM_20_ENMO,12.7 +- 5.7,-12.7 +- 5.7
LSTM_50_ENMO,1.7 +- 5.6,-1.7 +- 5.6
LSTM_100_ENMO,13.3 +- 5.4,-13.3 +- 5.4
SGD_hinge,28.5 +- 6.0,-28.5 +- 6.0
SGD_log,21.8 +- 6.2,-21.8 +- 6.2
SGD_perceptron,-105.9 +- 7.3,105.9 +- 7.3
Random_forest_300,10.6 +- 5.7,-10.6 +- 5.7
stages,364.0 +- 8.7,88.9 +- 6.6
