,Sleep,Wake
always_0,-363.5 +- 8.9,363.5 +- 8.9
always_1,88.9 +- 6.6,-88.9 +- 6.6
CNN_20_HR,5.7 +- 10.9,-5.7 +- 10.9
CNN_50_HR,13.1 +- 9.5,-13.1 +- 9.5
CNN_100_HR,19.2 +- 8.4,-19.2 +- 8.4
LSTM_20_HR,16.6 +- 6.8,-16.6 +- 6.8
LSTM_50_HR,2.2 +- 5.4,-2.2 +- 5.4
LSTM_100_HR,23.3 +- 7.2,-23.3 +- 7.2
SGD_hinge,88.9 +- 6.6,-88.9 +- 6.6
SGD_log,45.6 +- 12.0,-45.6 +- 12.0
SGD_perceptron,-159.6 +- 19.3,159.6 +- 19.3
Random_forest_300,-62.4 +- 7.7,62.4 +- 7.7
stages,364.0 +- 8.7,88.9 +- 6.6
