,Sleep,Wake
always_0,-363.5 +- 8.9,363.5 +- 8.9
always_1,88.9 +- 6.6,-88.9 +- 6.6
CNN_20_HRV,15.9 +- 7.6,-15.9 +- 7.6
CNN_50_HRV,23.2 +- 7.3,-23.2 +- 7.3
CNN_100_HRV,21.4 +- 7.4,-21.4 +- 7.4
LSTM_20_HRV,8.9 +- 6.8,-8.9 +- 6.8
LSTM_50_HRV,6.5 +- 7.5,-6.5 +- 7.5
LSTM_100_HRV,12.1 +- 7.3,-12.1 +- 7.3
SGD_hinge,65.3 +- 7.7,-65.3 +- 7.7
SGD_log,25.4 +- 10.3,-25.4 +- 10.3
SGD_perceptron,-162.1 +- 13.3,162.1 +- 13.3
Random_forest_300,12.7 +- 10.1,-12.7 +- 10.1
stages,364.0 +- 8.7,88.9 +- 6.6
