,Sleep,Wake
stages,365.1 +- 8.7,187.4 +- 8.6
CNN_20,51.4 +- 7.0,-51.4 +- 7.0
CNN_50,39.0 +- 7.2,-39.0 +- 7.2
CNN_100,36.2 +- 7.3,-36.2 +- 7.3
LSTM_20,18.8 +- 7.0,-18.8 +- 7.0
LSTM_50,14.8 +- 6.7,-14.8 +- 6.7
LSTM_100,36.0 +- 6.7,-36.0 +- 6.7
max_ensemble,33.4 +- 6.7,-33.4 +- 6.7
mean_ensemble,37.5 +- 6.8,-37.5 +- 6.8
