,Deep sleep,Light sleep,REM sleep,Wake
stages,39.3 +- 3.6,258.2 +- 7.0,67.6 +- 3.0,187.4 +- 8.6
CNN_20,-38.9 +- 3.6,69.9 +- 8.5,1.1 +- 5.4,-32.1 +- 6.9
CNN_50,-37.8 +- 3.6,32.5 +- 8.8,18.5 +- 6.2,-13.2 +- 7.1
CNN_100,-33.4 +- 3.5,55.9 +- 7.9,6.9 +- 4.7,-29.4 +- 7.0
LSTM_20,-37.8 +- 3.5,55.7 +- 7.7,-6.6 +- 4.1,-11.2 +- 7.0
LSTM_50,-36.2 +- 3.5,42.8 +- 7.4,-5.6 +- 4.0,-1.0 +- 6.9
LSTM_100,-32.4 +- 3.5,76.0 +- 7.3,-24.7 +- 3.7,-18.9 +- 6.6
max_ensemble,-37.4 +- 3.5,52.0 +- 7.8,-3.5 +- 4.6,-11.1 +- 6.7
mean_ensemble,-38.5 +- 3.5,65.2 +- 7.8,-8.9 +- 4.4,-17.8 +- 6.7
