,Non-REM sleep,REM sleep,Wake
stages,297.5 +- 7.1,67.6 +- 3.0,187.4 +- 8.6
CNN_20,43.7 +- 8.3,-1.3 +- 5.4,-42.5 +- 7.0
CNN_50,10.2 +- 8.4,10.8 +- 6.0,-21.0 +- 7.1
CNN_100,30.2 +- 7.7,2.5 +- 4.5,-32.7 +- 7.2
LSTM_20,25.6 +- 7.2,-12.9 +- 4.1,-12.7 +- 6.9
LSTM_50,23.9 +- 7.1,-10.7 +- 3.8,-13.2 +- 6.8
LSTM_100,26.5 +- 7.0,-23.3 +- 3.4,-3.2 +- 6.8
max_ensemble,27.3 +- 7.5,-11.1 +- 4.2,-16.1 +- 6.8
mean_ensemble,34.7 +- 7.5,-13.0 +- 4.2,-21.7 +- 6.8
