,Sleep,Wake
always_0,-365.1 +- 8.7,365.1 +- 8.7
always_1,187.4 +- 8.6,-187.4 +- 8.6
CNN_20_ENMO,51.8 +- 7.3,-51.8 +- 7.3
CNN_50_ENMO,39.0 +- 7.1,-39.0 +- 7.1
CNN_100_ENMO,43.0 +- 6.9,-43.0 +- 6.9
LSTM_20_ENMO,34.1 +- 7.2,-34.1 +- 7.2
LSTM_50_ENMO,15.6 +- 6.7,-15.6 +- 6.7
LSTM_100_ENMO,26.5 +- 6.6,-26.5 +- 6.6
SGD_hinge,54.7 +- 7.5,-54.7 +- 7.5
SGD_log,45.3 +- 7.7,-45.3 +- 7.7
SGD_perceptron,-85.9 +- 8.3,85.9 +- 8.3
Random_forest_300,32.6 +- 7.2,-32.6 +- 7.2
stages,365.1 +- 8.7,187.4 +- 8.6
