,Sleep,Wake
always_0,-365.1 +- 8.7,365.1 +- 8.7
always_1,187.4 +- 8.6,-187.4 +- 8.6
CNN_20_HR,60.9 +- 13.5,-60.9 +- 13.5
CNN_50_HR,66.0 +- 11.9,-66.0 +- 11.9
CNN_100_HR,65.9 +- 10.7,-65.9 +- 10.7
LSTM_20_HR,65.5 +- 8.7,-65.5 +- 8.7
LSTM_50_HR,16.8 +- 6.7,-16.8 +- 6.7
LSTM_100_HR,53.9 +- 8.9,-53.9 +- 8.9
SGD_hinge,187.4 +- 8.6,-187.4 +- 8.6
SGD_log,117.6 +- 14.8,-117.6 +- 14.8
SGD_perceptron,-92.3 +- 22.1,92.3 +- 22.1
Random_forest_300,-6.4 +- 9.6,6.4 +- 9.6
stages,365.1 +- 8.7,187.4 +- 8.6
