conv_filter,conv_layers,conv_len,acc_val,loss_val,acc_train,loss_train,stages,win_len
64,3,3,0.76806,0.58061,0.78218,0.66349,3,101
32,2,5,0.75108,0.61754,0.76221,0.66689,3,101
32,3,7,0.75275,0.62439,0.77166,0.60403,3,101
128,3,3,0.75663,0.60511,0.79715,0.5636,3,101
32,1,5,0.75165,0.63628,0.75089,0.72401,3,101
32,3,3,0.76235,0.59459,0.77063,0.62355,3,101
128,3,7,0.74409,0.67257,0.82291,0.44405,3,101
32,1,7,0.74614,0.64686,0.75569,0.71283,3,101
64,2,7,0.74448,0.63753,0.77678,0.6532,3,101
128,2,5,0.75143,0.62844,0.78284,0.61237,3,101
32,3,5,0.76232,0.58972,0.77494,0.6097,3,101
128,1,7,0.75844,0.62741,0.75962,0.74944,3,101
64,1,7,0.75081,0.64228,0.75676,0.71874,3,101
64,1,3,0.75609,0.62653,0.7549,0.69479,3,101
64,3,5,0.76859,0.57963,0.79272,0.57035,3,101
64,2,5,0.73977,0.64678,0.77463,0.65608,3,101
128,2,3,0.74116,0.6374,0.75382,0.66086,3,21
32,1,3,0.72728,0.67374,0.72242,0.75658,3,21
128,3,5,0.74242,0.62971,0.77208,0.63573,3,21
64,3,7,0.74702,0.61924,0.75926,0.62843,3,21
128,1,3,0.74118,0.65733,0.7352,0.7436,3,21
64,1,5,0.73869,0.65993,0.73431,0.75227,3,21
32,2,7,0.73661,0.65095,0.74433,0.67962,3,21
64,2,3,0.7386,0.64552,0.74863,0.68757,3,21
128,2,7,0.73125,0.66171,0.75929,0.66045,3,21
128,1,5,0.74336,0.65425,0.73944,0.73867,3,21
32,2,3,0.72913,0.66861,0.73309,0.72862,3,21
64,3,3,0.73713,0.63581,0.75597,0.6591,3,21
32,2,5,0.7415,0.64649,0.7434,0.68852,3,21
32,3,7,0.7422,0.62742,0.74801,0.66606,3,21
128,3,3,0.74977,0.61725,0.76586,0.63508,3,21
32,1,5,0.73204,0.67119,0.72612,0.76704,3,21
32,3,3,0.73343,0.65154,0.74316,0.67515,3,21
128,3,7,0.74616,0.63118,0.77509,0.62082,3,21
32,1,7,0.73377,0.66812,0.72993,0.76483,3,21
64,2,7,0.73968,0.64124,0.75154,0.66278,3,21
128,2,5,0.73205,0.65757,0.75911,0.65714,3,21
32,3,5,0.7437,0.62723,0.7496,0.66141,3,21
128,1,7,0.73885,0.66456,0.738,0.75,3,21
64,1,7,0.73784,0.66341,0.73486,0.75447,3,21
64,1,3,0.73595,0.66442,0.72893,0.7391,3,21
64,3,5,0.746,0.6208,0.75823,0.64594,3,21
64,2,5,0.74497,0.63769,0.74973,0.6829,3,21
128,2,3,0.76287,0.59677,0.76633,0.65758,3,51
32,1,3,0.74806,0.63956,0.7417,0.74613,3,51
128,3,5,0.75713,0.61942,0.79583,0.58046,3,51
64,3,7,0.75357,0.60801,0.78081,0.60127,3,51
128,1,3,0.75661,0.631,0.74844,0.72188,3,51
64,1,5,0.75291,0.6374,0.75123,0.69176,3,51
32,2,7,0.74616,0.63268,0.7565,0.68346,3,51
64,2,3,0.75303,0.61833,0.76333,0.63198,3,51
128,2,7,0.7517,0.64005,0.78194,0.62497,3,51
128,1,5,0.75538,0.63865,0.75363,0.71584,3,51
32,2,3,0.74694,0.63855,0.74645,0.68832,3,51
64,3,3,0.76303,0.58849,0.7733,0.624,3,51
32,2,5,0.74103,0.64298,0.75369,0.69387,3,51
32,3,7,0.75309,0.60891,0.76501,0.64506,3,51
128,3,3,0.75404,0.61284,0.7863,0.58741,3,51
32,1,5,0.74833,0.64095,0.7444,0.70582,3,51
